Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2015,2015 Annual,Depression,New Jersey,3,13.4,-1.92,14.3,12.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,New Mexico,38,21.1,0.77,22.4,19.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,New York,7,15.9,-1.05,17,14.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,North Carolina,26,19,0.03,20.1,17.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,North Dakota,14,17.3,-0.56,18.7,15.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Ohio,36,20.9,0.7,22.1,19.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Oklahoma,45,21.8,1.01,23,20.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Oregon,50,24,1.78,25.5,22.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Pennsylvania,28,19.6,0.24,20.7,18.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Rhode Island,33,20.6,0.59,22.1,19.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,South Carolina,29,19.8,0.31,20.9,18.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,South Dakota,10,16.6,-0.8,18.1,15,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Tennessee,40,21.4,0.87,23,19.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Texas,4,14.6,-1.5,15.5,13.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Utah,34,20.7,0.63,21.5,19.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Vermont,45,21.8,1.01,23,20.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Virginia,15,17.4,-0.52,18.4,16.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Washington,42,21.6,0.94,22.7,20.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,West Virginia,47,23.6,1.64,24.9,22.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Wisconsin,12,17,-0.66,18.4,15.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,Wyoming,25,18.9,0,20.6,17.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,District of Columbia,,18.1,,20.2,15.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression,United States,,18.9,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Alabama,,25.8,,38.1,13.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Alaska,,11.9,,15.4,8.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Arizona,,21.2,,27.5,14.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Arkansas,,41,,59.4,22.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,California,,29,,42,15.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Colorado,,28.9,,40.2,17.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Connecticut,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Delaware,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Florida,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Georgia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Hawaii,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Idaho,,23,,36.2,9.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Illinois,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Indiana,,31.5,,44.4,18.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Iowa,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Kansas,,32.4,,41.4,23.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Kentucky,,24.1,,38,10.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Louisiana,,25.6,,37.5,13.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Maine,,37.1,,49,25.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Maryland,,21,,33,9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Massachusetts,,29.4,,44.4,14.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Michigan,,33.6,,47.5,19.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Minnesota,,26.7,,34.2,19.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Mississippi,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Missouri,,42.2,,61,23.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Montana,,25,,31.4,18.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Nebraska,,34.7,,48.7,20.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Nevada,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,New Hampshire,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,New Mexico,,16,,19.9,12.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,New York,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,North Carolina,,22.1,,30.9,13.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,North Dakota,,16.2,,23.4,9.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Oklahoma,,24.8,,29.1,20.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Oregon,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Pennsylvania,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Rhode Island,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,South Carolina,,17,,25.7,8.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,South Dakota,,20.6,,26.9,14.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Tennessee,,46.5,,64.3,28.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Texas,,20.4,,32.2,8.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Utah,,25.3,,34.1,16.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Vermont,,26.3,,39.9,12.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Virginia,,25.3,,39.7,10.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Washington,,36.4,,48.8,24.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,West Virginia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Wisconsin,,27.8,,43.2,12.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,Wyoming,,24.2,,37.4,11,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,District of Columbia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - American Indian/Alaska Native,United States,,26.1,,28.3,23.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Alabama,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Alaska,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Arizona,,8,,12.6,3.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Arkansas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,California,,5.3,,7.5,3.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Colorado,,9.3,,14.1,4.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Connecticut,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Delaware,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Florida,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Georgia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Hawaii,,5.7,,6.9,4.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Idaho,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Illinois,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Indiana,,14.9,,22.5,7.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Iowa,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Kansas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Kentucky,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Louisiana,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Maine,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Maryland,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Massachusetts,,9.8,,14.5,5.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Michigan,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Minnesota,,5.4,,8.1,2.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Mississippi,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Missouri,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Montana,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Nebraska,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Nevada,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,New Hampshire,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,New Jersey,,5.3,,8.2,2.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,New Mexico,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,New York,,10.7,,14.9,6.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,North Carolina,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,North Dakota,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Oklahoma,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Oregon,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Pennsylvania,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Rhode Island,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,South Carolina,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,South Dakota,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Tennessee,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Texas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Utah,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Vermont,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Virginia,,10.8,,16,5.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Washington,,10.2,,14.4,6.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,West Virginia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Wisconsin,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,Wyoming,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,District of Columbia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Asian,United States,,6.8,,7.8,5.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Alabama,,14.7,,16.7,12.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Alaska,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Arizona,,14.8,,19.3,10.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Arkansas,,19.6,,24.3,14.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,California,,16.4,,20.6,12.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Colorado,,16.1,,20.8,11.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Connecticut,,14.7,,18.6,10.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Delaware,,11.1,,14.3,7.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Florida,,10.6,,13.1,8.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Georgia,,14.6,,17,12.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Hawaii,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Idaho,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Illinois,,14.1,,17.9,10.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Indiana,,15,,18.3,11.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Iowa,,20.3,,29.9,10.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Kansas,,18,,21.8,14.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Kentucky,,20.7,,27.1,14.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Louisiana,,14.5,,16.4,12.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Maine,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Maryland,,11.8,,13.9,9.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Massachusetts,,16.4,,20.5,12.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Michigan,,17.6,,21,14.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Minnesota,,17,,21.4,12.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Mississippi,,14.6,,17.1,12.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Missouri,,15.8,,19.8,11.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Montana,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Nebraska,,16,,21,10.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Nevada,,18.5,,26.6,10.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,New Hampshire,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,New Jersey,,11.3,,13.5,9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,New Mexico,,16.5,,25.3,7.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,New York,,12.4,,15.1,9.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,North Carolina,,12.6,,14.6,10.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,North Dakota,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Ohio,,22.1,,26.9,17.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Oklahoma,,18.8,,22.9,14.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Oregon,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Pennsylvania,,20.1,,23.8,16.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Rhode Island,,22.1,,29.4,14.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,South Carolina,,14.6,,16.4,12.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,South Dakota,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Tennessee,,15.2,,19.3,11.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Texas,,16.6,,20.2,13,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Utah,,25.4,,37.2,13.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Vermont,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Virginia,,12.3,,14.8,9.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Washington,,23.7,,31.5,16,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,West Virginia,,15.1,,21.8,8.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Wisconsin,,28.5,,38.4,18.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,Wyoming,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,District of Columbia,,19,,22.4,15.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Black,United States,,15,,15.7,14.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Alabama,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Alaska,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Arizona,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Arkansas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,California,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Colorado,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Connecticut,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Delaware,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Florida,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Georgia,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Hawaii,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Idaho,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Illinois,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Indiana,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Iowa,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Depression - Hawaiian/Pacific Islander,Kansas,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
